"soil_name","horizon","mg_per","bulk_density","bulk_density_sd","n","sand","silt","clay","frag","mg_g_m2","total_mg_horizon"
"besner","20_40",0.0024,1.47,0.014142135623731,2,65.45,31.85,2.7,NA,3.528e-07,1e-05
"besner","40_100",0.0024,1.688,0.148895936814945,5,61.6,35.62,2.78,NA,4.0512e-07,2e-05
"bethera","0_10",1.04656,1.27,0.246635757280942,1,48.9,54.65,31.7,NA,0.00013291312,0.00133
"bethera","10_20",0.00084,1.5096443452381,0.210069553241103,NA,6.8,51.5,24.3,NA,1.26810125e-07,0
"bethera","20_40",1.24024,1.34,0.215883238671701,1,46.1,49.95,38.55,NA,0.00016619216,0.00332
"bethera","40_100",0.723733333333333,1.74,0.19649269329816,1,15.5666666666667,30.1,53.9,NA,0.0001259296,0.00756
"betis","0_10",0.14602,1.3509262485482,0.246635757280942,NA,48.2886660985049,31.5216808172776,14.2365984772959,2.55253239021966,1.9222706796733e-05,0.00019
"betis","10_20",0.14602,1.5096443452381,0.210069553241103,NA,90.85,7.35,1.8,NA,2.20438267291667e-05,0.00022
"betis","20_40",0.0012,1.50104635443921,0.215883238671701,NA,84.3,13.1,2.6,NA,1.80125562532705e-07,0
"betis","40_100",0.022616,1.72,0.19649269329816,1,86.76,9.2,4.04,NA,3.889952e-06,0.00023
"bibb","0_10",0.3825,1.3509262485482,0.246635757280942,NA,70.375,21.9,7.725,NA,5.16729290069687e-05,0.00052
"bibb","10_20",0.085,1.5096443452381,0.210069553241103,NA,48.3,37.55,14.05,NA,1.28319769345239e-05,0.00013
"bibb","20_40",0.022,1.14,0.215883238671701,1,61.52,27.56,10.88,NA,2.508e-06,5e-05
"bibb","40_100",0.013,1.38,0.127279220613579,2,76.28,15.69,7.99,0.2,1.790412e-06,0.00011
"blanton","0_10",0.0327705263157895,1.45,0.246635757280942,1,54.0944444444444,6.24736842105263,2.58947368421053,NA,4.75172631578947e-06,5e-05
"blanton","10_20",0.079515,1.5096443452381,0.210069553241103,NA,64.475,8.375,2.9875,NA,1.20039370111608e-05,0.00012
"blanton","20_40",0.00985142857142857,1.50104635443921,0.215883238671701,NA,51.1769230769231,7.76428571428571,3.35714285714286,NA,1.47874509431611e-06,3e-05
"blanton","40_100",0.0109183673469388,1.57,0.0264575131106459,3,58.4387755102041,6.66734693877551,2.73877551020408,NA,1.71418367346939e-06,1e-04
"bonneau","0_10",0.331552727272727,1.66,0.246635757280942,1,76.54,11.3454545454545,4.59090909090909,1.81818181818182,5.40370663140496e-05,0.00054
"bonneau","10_20",0.00092,1.81,0.210069553241103,1,75.9833333333333,8.43333333333333,2.73333333333333,4.16666666666667,1.59581666666667e-07,0
"bonneau","20_40",0.121129230769231,1.50104635443921,0.215883238671701,NA,65.4692307692308,11.6076923076923,6.16923076923077,1.46153846153846,1.79163212404502e-05,0.00036
"bonneau","40_100",0.0518881481481481,1.64,0.0299999999999999,3,55.8648148148148,9.37592592592593,18.2851851851852,1.18518518518519,8.40880111056241e-06,5e-04
"boulogne","0_10",0.00096,1.3509262485482,0.246635757280942,NA,59.3333333333333,4.66666666666667,1.86666666666667,NA,1.29688919860627e-07,0
"boulogne","10_20",0.000576,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,8.4388465524575e-08,0
"boulogne","20_40",0.000192,1.50104635443921,0.215883238671701,NA,33.675,5.22,2.54,NA,2.88200900052328e-08,0
"boulogne","40_100",0.00012,1.59451747615447,0.19649269329816,NA,67.5444444444445,4.33,2.65,NA,1.91342097138536e-08,0
"bude","0_10",0.0072,1.54,0.127279220613579,2,24.4,65.55,10.05,NA,1.1088e-06,1e-05
"bude","10_20",0.0078,1.5096443452381,0.210069553241103,NA,46.7895312870223,30.4653139464118,15.1362533561418,2.95214027796427,1.14276047064529e-06,1e-05
"bude","20_40",0.0084,1.50104635443921,0.215883238671701,NA,16.15,64.55,19.3,NA,1.26087893772894e-06,3e-05
"bude","40_100",0.0205333333333333,1.675,0.124766448481419,4,14.8888888888889,61.2222222222222,23.8888888888889,NA,3.43933333333333e-06,0.00021
"burton","0_10",0.00468,0.7225,0.12737739202857,4,55.0444444444444,29.3111111111111,20.5125,11.7777777777778,2.983058e-07,0
"burton","10_20",0.0409,0.935,0.275771644662753,2,55.35,28.125,16.525,5.25,3.623382125e-06,4e-05
"burton","20_40",0.00243,1.046,0.114367827643966,5,54.7625,30.6875,14.55,15.75,2.14144965e-07,0
"burton","40_100",0.0152,1.27166666666667,0.0847152091815081,6,56.1636363636364,30.5181818181818,13.3181818181818,10.7272727272727,1.72558230303031e-06,1e-04
"caddo","0_10",0.00291428571428571,1.465,0.0494974746830584,2,24.4285714285714,69.4571428571429,6.11428571428571,0.714285714285714,4.23893265306122e-07,0
"caddo","10_20",0.00489,1.6,0.210069553241103,1,19.1,69.575,11.325,0.5,7.78488e-07,1e-05
"caddo","20_40",0.003765,1.685,0.0212132034355964,2,21.4,66.675,11.925,0.25,6.3281649375e-07,1e-05
